Area,metro,PC
Cape Town Central,,8001
Brakenfell,,7560
"Milnerton, Table View, Melkbosstrand, Edgemead, Bothasig",,7441
Belville,,7530
"Woodstock, Observatory, Salt River",,7925
"Paarden Island, Maitland, Pinelands, Ysterplaat",,7405
"Parow, Plattekloof",,7500
"Goodwood (Epping Industria, N1 City), Monte Vista",,7460
"Claremont, Kenilworth",,7708
"Diep River, Plumstead, Ottery, Wynberg, Southfield",,7800
"Kuilsriver, Blackheath, Eikenbosch",,7580
"Rondebosch, Newlands, Mowbry, Landsdown",,7700
"Somerset West, Macasser, Faure, Figrove",,7130
Parow East,,7501
"Westlake, Bergvliet, Muizenberg, Capricorn, Retreat, Tokai",,7945
Admirals Hill,City of Cape Town,7798
Adriaanse,City of Cape Town,7490
Airlie,City of Cape Town,7806
Alicedale Estate,City of Cape Town,7764
Alphine Park,City of Cape Town,7785
Amandaglen,City of Cape Town,7550
Anchorage Park,City of Cape Town,7140
Arcadia Centre,City of Cape Town,7570
Area Sst,City of Cape Town,7784
Ascot Village,City of Cape Town,7780
Athlone,City of Cape Town,7760
Atlantis,City of Cape Town,7349
Bakoven,City of Cape Town,8005
Barcelona,City of Cape Town,7750
Belhar,City of Cape Town,7493
Belhar,City of Cape Town,7507
Bergvliet,City of Cape Town,7864
Beverly Park,City of Cape Town,7100
Big Bay,City of Cape Town,7448
Blackheath,City of Cape Town,7581
Bloubergrant,City of Cape Town,7443
Bloubergrant North,City of Cape Town,7444
Bloubergstrand,City of Cape Town,7436
Blue Downs,City of Cape Town,7105
Bothasig,City of Cape Town,7406
Brackenfell,City of Cape Town,7561
Bridgetown,City of Cape Town,7769
Camps Bay,City of Cape Town,8040
Cape Mail,City of Cape Town,8003
Cape Mail Speed Services Network,City of Cape Town,8004
Cape Town,City of Cape Town,8000
Cape Town International Airport,City of Cape Town,7525
Capegate,City of Cape Town,7562
Capri Village,City of Cape Town,7975
Caravelle,City of Cape Town,7787
Century City,City of Cape Town,7446
Chempet,City of Cape Town,7442
Clareinch,City of Cape Town,7740
Claremont,City of Cape Town,7735
Competition Mail,City of Cape Town,8017
Constantia,City of Cape Town,7848
Crawford,City of Cape Town,7770
Dassenberg,City of Cape Town,7350
Delft,City of Cape Town,7102
Dunoon,City of Cape Town,7438
Durbanville,City of Cape Town,7551
Durrheim,City of Cape Town,7491
Eagle Park,City of Cape Town,7941
Edgemead,City of Cape Town,7407
Eerste River,City of Cape Town,7103
Eikefontein,City of Cape Town,7571
Elonwabeni,City of Cape Town,7791
Elsie's River,City of Cape Town,7480
Eppindust,City of Cape Town,7475
Faure,City of Cape Town,7131
Firgrove,City of Cape Town,7110
Gatesville,City of Cape Town,7766
Glosderry,City of Cape Town,7702
Goodwood,City of Cape Town,7459
Gordon's Bay,City of Cape Town,7151
Grassy Park,City of Cape Town,7888
Green Point 2,City of Cape Town,8051
Guguletu,City of Cape Town,7751
Guguletu Mall,City of Cape Town,7753
Helderberg,City of Cape Town,7135
Hout Bay,City of Cape Town,7872
Howard Place,City of Cape Town,7450
I.C.G. (Pty) Ltd,City of Cape Town,8024
Imarike,City of Cape Town,7752
Joe Slovo,City of Cape Town,7455
Kalk Bay,City of Cape Town,7990
Kasselsvlei,City of Cape Town,7533
Kenilworth,City of Cape Town,7745
Kenilworth,City of Cape Town,8301
Kenwyn,City of Cape Town,7790
Kernkrag,City of Cape Town,7440
Khayelitsha,City of Cape Town,7783
Khayelitsha Mall,City of Cape Town,7792
Klein Dassenberg,City of Cape Town,7358
Klipheuwel,City of Cape Town,7303
Kommetjie,City of Cape Town,7976
Kraaifontein,City of Cape Town,7569
Kraaifontein North,City of Cape Town,7572
Kuils River,City of Cape Town,7579
Langa,City of Cape Town,7456
Lansdowne,City of Cape Town,7779
Lavistown,City of Cape Town,7465
Lentegeur,City of Cape Town,7786
Lingelethu West,City of Cape Town,7765
Lotus River,City of Cape Town,7805
Lwandle,City of Cape Town,7143
Macassar,City of Cape Town,7134
Maitland,City of Cape Town,7404
Mamre,City of Cape Town,7347
Manenberg,City of Cape Town,7767
Manyanani,City of Cape Town,7794
Matroosfontein,City of Cape Town,7489
Melton Rose,City of Cape Town,7101
Millers Point,City of Cape Town,7995
Monte Vista,City of Cape Town,7463
Mowbray,City of Cape Town,7705
Muizenberg,City of Cape Town,7950
Mutualpark,City of Cape Town,7451
Nomzamo,City of Cape Town,7144
Nonkqubela,City of Cape Town,7793
Nyanga,City of Cape Town,7755
Nyanga Junction,City of Cape Town,7756
Observatory,City of Cape Town,7935
Old Oak,City of Cape Town,7537
Ottery,City of Cape Town,7808
Panorama,City of Cape Town,7506
Parliament,City of Cape Town,8007
Parow,City of Cape Town,7499
Philadelphia,City of Cape Town,7304
Philippi,City of Cape Town,7781
Pinelands,City of Cape Town,7430
Plumstead,City of Cape Town,7801
Ravensmead,City of Cape Town,7504
Retreat,City of Cape Town,7965
Reygersdal,City of Cape Town,7352
Rhodes Gift,City of Cape Town,7707
Rogge Bay,City of Cape Town,8012
Rondebosch,City of Cape Town,7701
Sanlamhof,City of Cape Town,7532
Sarepta,City of Cape Town,7582
Seesig,City of Cape Town,7977
Sir Lowry's Pass,City of Cape Town,7133
Somerset Mall,City of Cape Town,7137
Somerset West,City of Cape Town,7129
Soneike,City of Cape Town,7583
Southfield,City of Cape Town,7880
St James,City of Cape Town,7946
Steenberg,City of Cape Town,7947
Strand,City of Cape Town,7139
Strandfontein,City of Cape Town,7788
Surwell,City of Cape Town,7762
Thornton,City of Cape Town,7485
Tokai,City of Cape Town,7966
Tygerberg,City of Cape Town,7505
Unibell,City of Cape Town,7539
Valyland,City of Cape Town,7978
Vanriebeeckshof,City of Cape Town,7540
Vlaeberg,City of Cape Town,8018
Vredendal North,City of Cape Town,8161
Waterfront,City of Cape Town,8002
Welgemoed,City of Cape Town,7538
Weskus Village,City of Cape Town,7433
Westridge,City of Cape Town,7802
Woodstock,City of Cape Town,7915
Wynberg,City of Cape Town,7824
Ysterplaat,City of Cape Town,7425
