sic7_1d_numeric,sic7_1d
1,"Agriculture"
2,"Mining"
3,"Manufacturing"
4,"Utilities"
5,"Utilities"
6,"Construction"
7,"Retail & Repairs"
8,"Transportation"
9,"Accommodation"
10,"Finance, IT & Business Services"
11,"Finance, IT & Business Services"
12,"Finance, IT & Business Services"
13,"Finance, IT & Business Services"
14,"Finance, IT & Business Services"
15,"Community Services & Health"
16,"Community Services & Health"
17,"Community Services & Health"
18,"Community Services & Health"
19,"Community Services & Health"
20,"Households and other"
21,"Households and other"
